"Id","Year","Fiscal Year","DEPARTMENT","DIVISION","SECTION","FUND TYPE","FUND GROUP","FUND NAME","EXP/REV","OJBECT CLASS","ACCOUNT CATEGORY","ACCOUNT NAME","BUDGET AMOUNT"
"11489","2015","FY2014/15","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Vacation","13828"
"11490","2016","FY2015/16","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Earnings","Overtime","2090"
"11491","2015","FY2014/15","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Earnings","Overtime","2090"
"11492","2016","FY2015/16","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","632095"
"11493","2015","FY2014/15","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","599084"
"11494","2015","FY2014/15","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","3279"
"11495","2015","FY2014/15","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","86382"
"11496","2016","FY2015/16","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","69857"
"11497","2015","FY2014/15","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","71549"
"11498","2016","FY2015/16","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","500"
"11499","2015","FY2014/15","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","500"
"11500","2015","FY2014/15","Public Works","Maintenance Services Division","Concrete Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Safety Equipment","1000"
"11501","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Service","72000"
"11502","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Service","72000"
"11503","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Vehicles","8534"
"11504","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Vehicles","15221"
"11505","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Laundry Services","1000"
"11506","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Laundry Services","1000"
"11507","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","EPERC","-9577"
"11508","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Construction Supplies","499513"
"11509","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Construction Supplies","499513"
"11510","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Indirect Cost - Credit","-36300"
"11511","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Indirect Cost - Credit","-794039"
"11512","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Labor Reimbursement - CR","-649668"
"11513","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Labor Reimbursement - CR","-29700"
"11514","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Labor Reimbursement - CR","-649668"
"11515","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Service and Supply Reimbursement","-760000"
"11516","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Service and Supply Reimbursement","-760000"
"11517","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Employee Services Reimbursement","-121374"
"11518","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Employee Services Reimbursement","-121374"
"11519","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Vehicle Repair and Maintenance","127504"
"11520","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Vehicle Repair and Maintenance","123574"
"11521","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","City Property","Property Accounts","Vehicle Replacement Charge","74549"
"11522","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Indirect Cost - Credit","-794039"
"11523","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","2940"
"11524","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","13887"
"11525","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","13175"
"11526","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","59378"
"11527","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","56335"
"11528","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Base Labor Increase","9750"
"11529","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","45639"
"11530","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","34158"
"11531","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Fuel","47273"
"11532","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Fuel","60755"
"11533","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Revenues","Intergovernmental","Intergovernmental Accounts","Other Agency Payments","9000"
"11534","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Revenues","Intergovernmental","Intergovernmental Accounts","Other Agency Payments","9000"
"11535","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","957704"
"11536","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","908632"
"11537","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","1602"
"11538","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","1531"
"11539","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","148741"
"11540","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","131016"
"11541","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","135959"
"11542","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","116957"
"11543","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","400"
"11544","2015","FY2014/15","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","400"
"11545","2016","FY2015/16","Public Works","Maintenance Services Division","In-Source Concrete","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","2940"
"11546","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","12th Street Maint Benefit Area","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","10358"
"11547","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Neighborhood Water Quality Dist","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","21291"
"11548","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","N Nat Lndscp 99-02","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","358231"
"11549","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Willowcreek Lndscpng CFD","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","85000"
"11550","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","N Natomas Lands CFD 3","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","446000"
"11551","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Village Garden N.-Mtce Dist #1","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","24822"
"11552","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Del Paso Nuevo Landscaping CFD","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","13620"
"11553","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Other Governmental Funds","State Route 275","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","39389"
"11554","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Railyards Maint CFD No 2014-04","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","-5000"
"11555","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Other Governmental Funds","Landscaping and Lighting","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","-50000"
"11556","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Power Inn Rd Md 2003-01","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","-2614"
"11557","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Northside Subdiv Maint Dist","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","-229"
"11558","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Subdiv Lndscpng Maint Dist","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","37345"
"11559","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","N Nat Lndscp 99-02","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","-5035"
"11560","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Willowcreek Lndscpng CFD","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","-9207"
"11561","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","N Natomas Lands CFD 3","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","-27795"
"11562","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Village Garden N.-Mtce Dist #1","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","-5996"
"11563","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Del Paso Nuevo Landscaping CFD","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","1120"
"11564","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Railyards Maint CFD No 2014-04","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","50000"
"11565","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Other Governmental Funds","Citation I-5 Maintenance","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","25000"
"11566","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Other Governmental Funds","Landscaping and Lighting","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","2156428"
"11567","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","1260"
"11568","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","1050"
"11569","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","6266"
"11570","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","5133"
"11571","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","26793"
"11572","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","21949"
"11573","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Small Tools And Equipment","300"
"11574","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Small Tools And Equipment","300"
"11575","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Base Labor Increase","3000"
"11576","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","13834"
"11577","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","3540"
"11578","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - CR","-3493891"
"11579","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Group Benefit Clearing","58"
"11580","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Group Benefit Clearing","58"
"11581","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Fuel","10141"
"11582","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Fuel","13329"
"11583","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Utilities Exp","352541"
"11584","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Energy and Fuel","Utilities Exp","352541"
"11585","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Power Inn Rd Md 2003-01","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","9000"
"11586","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Northside Subdiv Maint Dist","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","4639"
"11587","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Special Districts","Subdiv Lndscpng Maint Dist","Expenses","Labor and Supply Offset","Interfund Reimbursement","Other Cost Reimbursement - DR","255050"
"11588","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Earnings","Overtime","2035"
"11589","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Earnings","Overtime","2035"
"11590","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","432150"
"11591","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","354015"
"11592","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","67117"
"11593","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","51045"
"11594","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","62522"
"11595","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","50090"
"11596","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","100"
"11597","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Longevity","100"
"11598","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Construction Supplies","300"
"11599","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Plumbing Supplies","4951"
"11600","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Plumbing Supplies","4951"
"11601","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Electrical Supplies","30"
"11602","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Electrical Supplies","30"
"11603","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Safety Equipment","245"
"11604","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Safety Equipment","245"
"11605","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Service","117728"
"11606","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Repair And Maintenance Service","117728"
"11607","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Cellular Telephone","2000"
"11608","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Cellular Telephone","2000"
"11609","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Telephone","528"
"11610","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Telephone","528"
"11611","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Fees And Permits","10"
"11612","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Fees And Permits","10"
"11613","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Vehicles","1078"
"11614","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Rental Of Vehicles","1078"
"11615","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Transportation","37"
"11616","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Transportation","37"
"11617","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Printing And Binding","300"
"11618","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Printing And Binding","300"
"11619","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","1100"
"11620","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","1100"
"11621","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","EPERC","-4322"
"11622","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Construction Supplies","300"
"11623","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Indirect Cost - Credit","-56700"
"11624","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Indirect Cost - Credit","-68100"
"11625","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Indirect Cost - Credit","-56700"
"11626","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Labor Reimbursement - CR","-13300"
"11627","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Labor Reimbursement - CR","-45400"
"11628","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","CIP Labor Reimbursement - CR","-13300"
"11629","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Other Governmental Funds","State Route 275","Expenses","Labor and Supply Offset","Interfund Reimbursement","Budgeted Reimbursement - DR","3742"
"11630","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","Other Governmental Funds","Other Governmental Funds","State Route 275","Expenses","Labor and Supply Offset","Interfund Reimbursement","Budgeted Reimbursement - DR","3742"
"11631","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Budgeted Reimbursement - CR","-3742"
"11632","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","Budgeted Reimbursement - CR","-3742"
"11633","2016","FY2015/16","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Landscape Maintenance Services","829"
"11634","2015","FY2014/15","Public Works","Maintenance Services Division","Streetscape Maintenance","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Property Services","Landscape Maintenance Services","2600266"
